group_id,point_id,q1,q2,q3,q4,q5,q6,collision_detected,lift_height
118,82,-1.833963134,-0.501193032,1.824740851,-2.944491869,-1.539351828,-0.262872213,FALSE,150.0
118,83,-1.840955921,-0.506251913,1.884546545,-3.005534103,-1.542919386,-0.269742527,FALSE,150.0
118,84,-1.840378595,-0.511102444,1.928331016,-3.046058813,-1.557433497,-0.269121516,FALSE,150.0
118,85,-1.888981849,-0.51103051,1.922072589,-3.030994142,-1.532711148,-0.317862298,FALSE,150.0
118,86,-1.877582633,-0.503716379,1.869474975,-2.98989255,-1.533836419,-0.306396894,FALSE,150.0
118,87,-1.865112121,-0.498601769,1.808999889,-2.929077042,-1.538470396,-0.294016624,FALSE,150.0
118,88,-1.854015958,-0.490224524,1.74688708,-2.870278906,-1.541951904,-0.282993001,FALSE,150.0
118,89,-1.843698335,-0.479207745,1.682819488,-2.812257133,-1.545232229,-0.272734728,FALSE,150.0
118,90,-1.834330806,-0.465414216,1.61730655,-2.756482155,-1.547807829,-0.263408595,FALSE,150.0
118,91,-1.825516353,-0.449227126,1.548862733,-2.699588353,-1.550357251,-0.254633235,FALSE,150.0
118,92,-1.81756615,-0.430417446,1.479231909,-2.645774196,-1.552088849,-0.246704804,FALSE,150.0
118,93,-1.809877598,-0.409266344,1.405023387,-2.588114999,-1.554213062,-0.239042919,FALSE,150.0
118,94,-1.803029645,-0.385448276,1.329735618,-2.534471373,-1.5553286,-0.232205868,FALSE,150.0
118,95,-1.796293486,-0.358900868,1.248070162,-2.475010572,-1.557026843,-0.225486393,FALSE,150.0
118,96,-1.790264077,-0.329421525,1.164213859,-2.418747183,-1.557823756,-0.219462844,FALSE,150.0
118,97,-1.784308782,-0.296243131,1.071548821,-2.355075324,-1.559182644,-0.213517002,FALSE,150.0
118,98,-1.778918449,-0.25916726,0.973879783,-2.292463329,-1.559822483,-0.20812985,FALSE,150.0
118,99,-1.773655305,-0.216347686,0.86340099,-2.221083989,-1.560795072,-0.202870158,FALSE,150.0
118,100,-1.768776314,-0.166437285,0.739877923,-2.145049378,-1.561382028,-0.197991865,FALSE,150.0
118,101,-1.764187044,-0.105636337,0.594118377,-2.058435251,-1.561773688,-0.193402286,FALSE,150.0
118,102,-1.797217224,-0.104318444,0.593555887,-2.05550392,-1.532819177,-0.226588709,FALSE,150.0
118,103,-1.802530447,-0.164833625,0.738344397,-2.140903961,-1.532508515,-0.231907187,FALSE,150.0
118,104,-1.808097528,-0.214335541,0.859911056,-2.214082136,-1.5321854,-0.237479431,FALSE,150.0
118,105,-1.814293103,-0.257340918,0.97131484,-2.286632278,-1.530930238,-0.243681638,FALSE,150.0
118,106,-1.820486002,-0.294368343,1.068263144,-2.34789331,-1.530448525,-0.249879099,FALSE,150.0
118,107,-1.827383271,-0.327572895,1.160915674,-2.411357969,-1.52900209,-0.256779153,FALSE,150.0
118,108,-1.834287833,-0.357118906,1.244378313,-2.46667719,-1.528392344,-0.263687096,FALSE,150.0
118,109,-1.838573191,-0.383996501,1.327235741,-2.529192858,-1.534689211,-0.267877668,FALSE,150.0
