target_line,group_id,point_id,q1,q2,q3,q4,q5,q6,is_discontinuous,is_task_waypoint,source_point_id,waypoint_kind,speed,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,132,335,-1.613244327,-0.3271001187,0.9124075521,-2.143738758,-1.49600066,-0.04256870984,0,0,,transition,30,0,-1610,50,652,0
1,132,336,-1.613726005,-0.3496889362,0.964786007,-2.172606364,-1.496077994,-0.04305112977,0,1,264,task,30,0,-1610,50,652,0
1,132,337,-1.614735615,-0.3902639474,1.059999679,-2.225397836,-1.496237079,-0.04406214269,0,1,265,task,30,0,-1610,50,652,0
1,132,338,-1.615794904,-0.4273161361,1.148063727,-2.274559157,-1.496400892,-0.04512274877,0,1,266,task,30,0,-1610,50,652,0
1,132,339,-1.616907648,-0.4615383386,1.230530524,-2.320949619,-1.496569779,-0.04623671526,0,1,267,task,30,0,-1610,50,652,0
1,132,340,-1.618078015,-0.4934024914,1.308475017,-2.365171961,-1.496744121,-0.04740820182,0,1,268,task,30,0,-1610,50,652,0
1,132,341,-1.619299619,-0.5233025109,1.382524657,-2.407276804,-1.496955774,-0.04863050137,0,1,269,task,30,0,-1610,50,652,0
1,132,342,-1.620430984,-0.5523429516,1.4513984,-2.442550071,-1.497609548,-0.04975758299,0,1,270,task,30,0,-1610,50,652,0
1,132,343,-1.621622811,-0.5799787874,1.517723248,-2.47667654,-1.498276887,-0.05094387422,0,1,271,task,30,0,-1610,50,652,0
1,132,344,-1.622896829,-0.6062248526,1.582404401,-2.51126532,-1.498915696,-0.05221241914,0,1,272,task,30,0,-1610,50,652,0
1,132,345,-1.624257755,-0.6311545195,1.645553196,-2.54619704,-1.499533523,-0.05356803681,0,1,273,task,30,0,-1610,50,652,0
1,132,346,-1.625699979,-0.6549219204,1.706950292,-2.580535491,-1.500164272,-0.05500408363,0,1,274,task,30,0,-1610,50,652,0
